sys_SequentialRespondentNumber,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,mtwid,consent1_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,sys_RespStatus,sys_DispositionCode,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,comments,enthusiast
41,2/15/13 22:26,2/15/13 22:37,706,948041,125,,1,1,1,3,3,1,5,7,Silverado,3,9,8,3,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,2,1,1,1,1,1,1,2,2,1,3,3,1,3,2,3,4,4,4,3,1,4,2,2,4,4,1,2,0,0,0,1,2,0,0,0,2,1,3,1,1,1,0,3,0,0,0,0,0,0,3,25,7,3,2,10,1,1,29,15666,7,1,1,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
43,2/15/13 23:49,2/15/13 23:57,486,1070405,589,,1,1,1,2,4,1,1,12,sonata hybrid,4,7,4,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,2,2,3,2,3,3,3,2,1,1,3,3,2,1,2,5,4,5,4,1,1,1,1,5,3,0,2,0,0,0,0,2,0,0,0,6,3,3,1,3,1,2,3,4,5,6,7,8,9,1,7,12,20,1,7,2,4,42,15136,4,3,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
44,2/15/13 21:41,2/15/13 21:54,727,1207378,723,,1,1,1,2,4,3,2,4,535,4,5,4,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,3,2,3,3,3,3,3,2,3,2,2,3,1,3,2,1,4,4,5,5,3,5,4,2,1,3,1,0,0,0,0,1,0,0,0,0,1,1,3,3,1,0,0,3,0,0,0,0,0,0,2,4,2,3,5,10,2,5,18,15474,3,5,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
45,2/15/13 21:04,2/15/13 21:20,947,1243422,729,,1,1,1,3,3,3,6,22,prius,3,3,7,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,2,1,1,3,1,1,1,2,3,2,1,2,1,1,4,4,5,5,1,5,3,4,4,4,1,2,0,0,0,1,2,3,4,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,3,22,7,9,1,11,1,2,5,15017,6,1,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,good luck,1
46,2/15/13 19:55,2/15/13 20:09,800,1420174,47,,1,1,1,3,3,3,6,10,terrain,2,5,2,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,3,1,3,1,3,2,2,1,2,2,1,3,3,1,3,3,4,3,4,5,3,4,3,3,3,3,1,0,0,0,0,1,0,0,0,0,2,7,3,1,1,1,0,0,0,0,0,0,0,0,2,10,5,7,3,8,2,2,12,15227,5,1,6,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
47,2/16/13 15:15,2/16/13 15:24,534,685352,649,,1,1,1,3,2,1,3,2,TL,3,4,5,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,1,1,3,1,2,2,2,1,2,1,2,3,1,1,2,1,4,4,5,4,1,5,2,3,2,4,1,0,0,0,0,1,0,3,0,0,3,3,3,4,4,1,0,3,0,0,0,0,0,0,3,2,22,20,4,11,1,3,12,15090,5,2,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
48,2/16/13 19:38,2/16/13 19:51,772,745905,427,,1,1,1,3,2,1,3,16,s550,4,9,7,3,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,3,1,1,1,3,2,1,1,1,2,2,3,1,1,1,1,1,5,5,5,3,5,5,3,5,4,1,2,0,4,0,1,0,0,0,0,3,1,5,1,1,1,0,3,0,0,0,0,0,0,2,16,20,12,1,11,1,2,1,16201,7,5,4,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
49,2/16/13 18:59,2/16/13 19:12,770,762634,368,,1,1,1,2,4,1,1,20,Outback,3,3,3,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,1,3,1,2,2,2,3,3,1,1,2,2,3,3,2,3,4,5,5,5,1,4,2,2,4,1,1,0,0,0,0,0,2,0,0,0,3,2,3,1,1,1,0,3,0,0,0,0,0,0,3,20,11,2,4,11,1,2,35,15108,5,1,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
50,2/16/13 17:34,2/16/13 17:41,427,949847,172,,1,1,1,2,2,3,2,18,altima,2,6,7,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,3,3,1,2,2,2,2,3,3,2,3,2,3,2,3,1,3,3,5,5,3,4,3,,3,3,1,0,0,0,0,1,2,3,0,0,3,6,3,6,6,1,0,3,0,0,0,0,0,0,3,18,22,16,2,11,2,2,23,15239,5,1,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
51,2/16/13 17:22,2/16/13 17:27,303,965100,73,,1,1,1,2,2,3,2,20,Legacy,4,5,6,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,1,1,3,1,2,2,1,3,2,1,1,1,3,2,2,4,3,4,5,2,5,5,2,3,3,1,0,0,0,0,1,0,0,4,0,4,6,5,4,1,1,0,0,0,0,0,7,0,0,3,20,4,14,5,11,1,3,52,15005,5,1,1,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
52,2/16/13 17:11,2/16/13 17:21,617,996034,426,,1,1,1,3,3,3,6,9,mustang gt,4,4,2,3,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,2,1,2,2,2,1,3,2,2,1,2,2,2,3,3,2,5,2,5,2,5,5,4,1,1,4,1,2,0,0,0,1,2,0,0,0,2,7,6,7,5,0,0,0,0,0,0,0,0,0,2,9,8,6,4,5,1,4,52,26508,3,1,1,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
54,2/16/13 16:05,2/16/13 16:25,1181,1056190,177,,1,1,1,2,3,3,2,12,sante fe,4,4,5,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,1,1,1,3,3,1,1,1,1,2,1,1,1,1,3,4,4,4,5,5,5,5,2,2,3,1,0,0,0,0,1,2,0,0,0,6,3,6,3,3,1,0,3,0,0,0,0,0,0,2,24,9,12,2,7,1,3,4,16034,4,4,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,3
55,2/16/13 16:34,2/16/13 16:40,362,1147877,448,,1,1,1,2,4,1,1,9,C-Max SEL,3,5,3,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,2,2,2,1,2,1,3,2,1,2,1,2,2,2,1,1,4,4,5,5,1,5,3,2,4,4,1,2,3,4,0,0,2,3,4,0,3,1,4,3,3,0,2,0,0,0,6,7,8,9,1,9,22,11,4,11,2,2,44,15146,6,1,1,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
56,2/16/13 21:41,2/16/13 21:47,385,1198438,89,,1,1,1,1,2,1,3,1,,3,11,11,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,2,2,3,1,1,3,1,1,3,3,2,1,5,4,4,4,4,3,1,2,4,4,1,0,0,0,0,1,2,0,0,0,2,7,3,2,7,0,0,0,0,0,0,0,0,0,1,12,11,15,5,2,2,4,47,15227,4,1,1,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
57,2/16/13 17:43,2/16/13 17:54,620,1229358,428,,1,1,1,2,4,1,1,5,Regal,2,5,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,1,3,3,1,1,1,2,1,2,2,2,2,4,4,4,4,4,4,4,3,3,3,1,0,3,0,0,1,0,3,0,0,1,6,6,6,6,0,0,0,0,0,0,7,0,0,1,5,7,6,5,10,1,1,48,48038,6,1,1,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
58,2/16/13 20:25,2/16/13 20:36,636,1236146,30,,1,1,1,3,2,1,3,16,SLK 350,3,5,2,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,3,3,2,2,2,1,3,3,2,1,3,1,3,3,1,3,4,5,5,3,5,5,4,5,4,1,2,3,4,0,1,2,3,4,0,3,2,5,1,1,1,0,0,0,0,0,0,0,0,3,16,4,25,5,12,1,1,19,15222,7,1,1,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
59,2/16/13 19:52,2/16/13 20:05,727,1251100,721,,1,1,1,2,3,3,2,12,elantra touring,3,8,9,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,3,2,2,2,3,2,1,3,1,3,3,1,5,5,5,5,3,4,3,5,5,5,1,0,0,0,0,1,2,3,4,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,3,11,20,13,5,11,2,4,37,15218,6,3,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
60,2/16/13 19:14,2/16/13 19:31,995,1258192,547,,1,1,1,3,2,3,4,25,jeep wrangler,4,3,4,3,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,2,1,3,3,2,3,1,1,1,2,2,1,3,2,1,2,5,4,5,4,3,4,3,3,4,3,1,0,0,0,0,1,2,3,0,0,1,2,6,3,1,0,0,3,0,0,0,0,0,0,3,20,11,22,5,8,3,3,13,15227,3,3,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
61,2/16/13 21:27,2/16/13 21:35,457,1273152,468,,1,1,1,2,3,1,1,11,Accord,2,9,9,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,3,3,1,1,3,2,3,3,1,3,3,3,3,1,2,1,3,3,5,4,4,4,5,1,1,1,1,2,3,4,0,1,0,0,0,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,2,11,22,4,1,11,1,3,50,16023,3,1,1,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,1
62,2/16/13 21:52,2/16/13 22:08,1000,1414438,947,,1,1,1,3,2,3,4,11,insight,4,4,4,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,3,3,2,1,3,2,2,1,2,3,2,3,5,3,5,4,1,3,2,3,4,4,1,2,0,0,0,1,2,0,0,0,3,1,6,1,7,1,0,0,0,0,0,7,0,0,3,22,11,9,4,12,1,2,5,15108,5,3,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
63,2/16/13 21:07,2/16/13 21:23,949,1577965,70,,1,1,1,3,3,3,6,7,cobalt,3,3,4,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,2,2,3,1,1,1,2,3,3,2,1,2,2,1,3,4,4,5,5,4,2,2,3,5,5,1,0,0,0,0,1,2,3,4,0,1,1,1,3,7,0,0,0,4,0,0,0,0,0,3,7,10,11,3,10,2,3,18,15212,5,3,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
64,2/17/13 19:54,2/17/13 20:05,661,600926,63,,1,1,1,3,2,1,3,24,xc90,4,9,9,3,,,8,,,,,,,,,,,,,,,,,8,,,,,,,,2,1,3,1,1,3,3,1,2,3,2,3,2,1,3,3,5,4,5,4,1,4,3,1,1,1,1,0,0,0,0,1,2,0,0,0,3,1,1,1,1,1,0,0,0,0,0,7,0,0,2,16,24,2,2,11,1,5,21,15090,7,4,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
65,2/17/13 19:16,2/17/13 19:26,593,1490374,976,,1,1,1,3,2,1,3,18,maxima,4,3,4,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,2,2,2,2,2,1,2,1,3,4,3,5,5,1,4,3,2,4,4,1,2,0,4,0,1,2,0,0,0,3,1,2,2,2,1,0,0,0,0,0,0,0,0,3,18,12,11,3,11,1,3,11,15146,5,2,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
66,2/17/13 19:36,2/17/13 19:46,644,1509647,243,,1,1,1,3,3,3,6,15,5,3,5,3,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,2,1,1,3,1,3,3,2,2,2,1,3,3,2,1,5,4,4,5,2,4,1,2,5,4,1,0,0,0,0,1,2,3,0,0,3,1,6,1,1,1,0,3,0,0,0,0,0,0,3,9,15,4,3,8,2,4,27,16066,5,3,2,5,,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,127.0.0.1,1,,2
68,2/16/13 21:52,2/16/13 22:02,649,676933,126,,1,1,1,3,3,3,6,4,,4,5,6,1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,1,3,1,3,2,2,1,3,2,2,2,4,3,5,4,1,5,3,2,3,4,1,2,0,0,0,1,0,0,0,0,3,1,6,6,1,1,0,0,0,0,0,0,0,0,2,4,18,3,2,11,2,5,23,15601,5,4,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,2
69,2/15/13 23:37,2/15/13 23:54,1010,699605,90,,1,1,1,3,2,3,4,11,Civic,3,9,9,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,2,2,3,1,2,3,1,1,1,3,2,3,1,1,1,5,4,5,4,1,4,2,3,4,4,1,0,0,0,0,1,2,3,0,0,3,1,3,1,2,1,0,3,0,0,0,0,0,0,2,22,11,15,3,11,1,2,9,15101,5,4,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,Good!,2
70,2/16/13 19:29,2/16/13 19:37,443,874655,444,,1,1,1,2,2,3,2,22,FJ Cruiser,2,3,4,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,2,1,3,2,2,3,2,3,2,2,3,1,4,4,5,5,3,4,4,3,4,4,1,2,3,0,0,1,2,3,4,0,3,1,5,3,7,1,0,0,0,0,0,0,0,0,3,3,4,20,1,11,3,2,45,15227,5,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,1
71,2/16/13 17:08,2/16/13 17:17,513,976675,104,,1,1,1,3,3,3,6,23,Jetta Sportwagen TDI,3,1,3,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,2,3,1,2,2,2,2,1,1,3,1,3,3,1,2,5,4,5,5,2,5,4,3,5,5,1,2,0,0,0,1,2,3,4,0,2,1,2,1,1,1,0,3,0,0,0,0,0,0,2,23,3,1,1,12,1,4,26,15143,5,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,1
72,2/16/13 16:28,2/16/13 16:43,948,1006894,192,,1,1,1,2,3,1,1,9,ranger,3,9,9,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,1,3,3,1,2,1,1,1,2,3,2,2,1,1,1,3,3,5,5,1,4,4,4,5,5,1,0,0,0,0,0,2,0,0,0,3,1,6,4,1,1,0,0,0,0,0,0,0,0,3,9,15,25,5,8,1,2,13,15068,5,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,1
73,2/16/13 18:43,2/16/13 18:53,584,1246731,600,,1,1,1,2,4,1,1,2,TL,4,6,7,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,1,1,3,1,2,2,1,2,1,1,1,1,2,1,1,4,4,5,5,3,4,4,4,5,4,1,0,0,0,0,1,2,3,4,0,4,1,4,2,2,0,0,0,0,0,0,0,0,0,3,2,9,8,1,8,1,3,14,15650,5,4,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,1
74,2/16/13 21:01,2/16/13 21:13,675,1304843,136,,1,1,1,2,4,3,2,6,CTS Coupe,4,9,9,3,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,2,1,1,2,3,1,3,2,2,2,1,3,2,3,2,2,4,3,4,4,1,5,5,1,3,4,1,0,0,0,0,1,0,0,0,0,3,1,6,6,1,1,0,0,0,0,0,7,0,9,1,6,7,10,1,11,1,2,40,16033,5,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,I only buy American vehicles so many choices were not applicable to me.,1
75,2/15/13 22:25,2/15/13 22:40,857,1554744,966,,1,1,1,3,3,3,6,5,lacrosse,4,2,2,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,3,1,2,2,3,2,1,1,2,2,4,4,5,2,3,3,4,4,4,1,0,0,0,0,1,0,0,0,0,1,1,6,4,1,0,0,3,0,0,0,0,0,0,3,7,6,5,2,9,2,3,18,15223,2,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,some of these questions were very interesting,2
77,2/17/13 19:51,2/17/13 20:04,807,651047,383,,1,1,1,3,3,1,5,16,C300,3,5,2,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,1,1,1,1,1,1,3,3,4,3,5,4,1,5,4,2,3,3,1,2,0,0,0,1,2,3,0,0,2,1,2,3,7,1,0,0,0,0,0,0,0,0,3,16,3,22,1,8,2,2,44,15226,5,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,"The survey was very enlightening, but it would have been nice to have some more options under the favorite car options, such as Infiniti.",1
78,2/17/13 20:31,2/17/13 20:39,487,1016013,965,,1,1,1,3,2,1,3,7,cavalier,2,9,7,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,3,2,1,1,1,2,1,3,3,1,3,1,5,4,5,5,1,3,3,3,2,4,1,0,0,0,0,1,2,0,0,0,3,6,2,2,2,0,0,0,0,0,0,0,0,0,2,7,9,10,5,5,2,1,31,15,,,,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,
79,2/17/13 20:16,2/17/13 20:26,581,1151508,291,,1,1,1,2,4,1,1,25,avenger,2,9,7,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,1,3,2,1,3,2,2,3,2,2,3,2,2,3,1,3,5,1,5,4,1,5,4,1,3,5,1,2,0,0,0,1,2,0,0,0,1,1,1,6,1,0,0,0,0,0,0,0,0,0,2,16,4,2,4,6,2,1,43,16052,5,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,3
80,2/17/13 19:23,2/17/13 19:37,813,1191561,418,,1,1,1,2,4,3,2,11,Accord,4,9,5,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,1,1,3,3,2,2,3,2,2,2,2,3,1,3,3,2,5,4,5,5,1,4,3,3,4,4,1,0,0,0,0,0,2,0,0,0,5,1,3,3,1,1,0,0,0,0,0,0,0,0,2,11,13,9,3,12,2,2,15,15209,4,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,1
81,2/17/13 19:38,2/17/13 19:47,599,1192025,752,,1,1,1,2,4,3,2,20,Impreza,4,3,2,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,1,1,2,3,1,2,2,2,2,3,1,2,1,2,1,5,4,5,5,1,5,4,3,4,4,1,0,0,0,0,1,2,3,0,0,3,1,2,4,1,0,0,0,0,0,0,0,0,0,3,3,18,2,4,11,1,5,53,15237,2,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Chrome 20.0.1132.57,Windows NT 6.1,127.0.0.1,1,,1
82,2/15/13 22:27,2/15/13 22:35,513,489450,392,,1,1,1,3,3,3,6,7,malibu,3,7,4,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,1,2,1,1,1,2,2,2,2,1,1,1,1,3,1,1,5,3,5,5,1,3,1,5,4,5,1,0,0,4,0,1,2,3,4,0,1,1,1,3,1,0,0,0,4,0,0,0,0,0,3,10,8,9,4,10,1,3,8,15210,7,4,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",Chrome 23.0.1271.95,Windows NT 6.1,127.0.0.1,1,,2
83,2/16/13 19:37,2/16/13 19:45,482,509291,833,,1,1,1,2,3,3,2,18,altama,4,4,3,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,3,2,3,2,3,4,3,3,3,3,0,0,0,0,5,0,0,0,0,5,5,3,5,5,5,0,0,0,0,5,0,0,0,0,3,18,12,13,5,7,2,3,20,15466,2,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",Chrome 23.0.1271.95,Windows NT 6.1,127.0.0.1,1,,1
84,2/16/13 18:44,2/16/13 19:02,1032,686314,82,,1,1,1,2,4,1,1,13,Optima,3,2,5,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,3,1,3,3,3,3,1,1,3,2,2,3,1,3,3,5,1,5,3,3,4,1,1,1,1,1,2,0,0,0,1,0,0,4,0,3,2,2,1,2,1,0,3,0,0,0,0,0,0,2,1,1,1,2,11,1,2,-5,15215,5,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",Chrome 23.0.1271.95,Windows NT 6.1,127.0.0.1,1,this survey is very age dependent,2
85,2/15/13 22:39,2/15/13 22:53,842,839123,550,,1,1,1,3,3,3,6,11,accord,3,4,7,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,3,2,2,3,1,1,1,1,2,3,3,1,1,5,4,5,5,1,5,3,3,4,4,1,0,0,0,0,1,2,3,0,0,2,1,2,6,7,1,0,0,0,0,0,0,0,0,3,9,15,20,3,6,1,2,29,15201,5,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11",Chrome 23.0.1271.95,Windows NT 6.1,127.0.0.1,1,,2
