RespNum,sys_InternalRespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,quota,consent_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,comments,sys_RespStatus,sys_DispositionCode,sys_CBCVersion_CBC,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,SUVbuyer,shanghai,shenzhen,chengdu
131,1392686,2011-7-29 05:37,2011-7-29 05:49,718,3,1,1,1,3,2,1,16,菱悦,2,2,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,3,3,2,1,1,3,3,1,3,1,2,3,4,5,5,4,5,4,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,15,10,21,1,7,1,2,46,NA,4,1,2,NA,5,NA,411,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,1,0,0,0
132,834175,2011-7-30 03:31,2011-7-30 03:42,664,3,1,1,1,1,2,1,1,NA,1,10,16,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,3,3,1,2,3,3,2,1,1,2,1,2,2,2,5,5,4,4,4,4,4,5,1,0,0,0,0,1,2,3,0,0,0,0,3,0,0,1,2,1,12,5,5,1,2,42,NA,2,2,2,NA,5,NA,10,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,1,0,0,0
133,1180062,2011-7-30 03:44,2011-7-30 03:56,772,3,1,1,1,3,2,1,67,夏利,2,5,5,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,2,2,2,2,2,1,3,3,2,3,3,3,4,5,3,4,4,3,3,4,5,5,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,30,22,11,5,5,1,3,41,100010,2,2,2,NA,5,NA,443,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,1,0,0,0
134,1013017,2011-7-30 05:10,2011-7-30 05:22,703,3,1,1,1,1,2,1,1,NA,1,10,16,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,2,1,2,2,2,3,2,2,3,1,3,4,4,5,5,4,4,5,3,5,5,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,1,13,7,14,2,8,NA,3,41,NA,4,2,2,NA,5,NA,318,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1),MSIE 8.0,Windows XP,127.0.0.1,1,1,0,0,0
135,923648,2011-7-30 06:17,2011-7-30 06:26,544,3,1,1,1,3,2,1,21,宝来,2,3,7,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,2,3,1,2,2,3,1,2,2,1,2,5,5,5,NA,5,4,3,4,5,5,1,0,3,0,0,1,0,0,0,0,0,0,3,0,0,3,33,9,13,5,16,1,4,29,NA,5,3,2,NA,5,NA,206,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,1,0,0,0
136,576051,2011-7-30 06:42,2011-7-30 06:51,543,3,1,1,1,1,2,1,1,NA,1,10,16,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,2,1,3,3,3,3,3,2,2,3,2,2,2,5,5,4,4,4,4,5,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,5,3,9,14,16,2,19,1,8,44,NA,4,1,2,NA,5,NA,25,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,1,0,0,0
137,868839,2011-7-30 06:53,2011-7-30 07:04,685,1,1,1,1,2,2,1,31,瑞虎,2,4,6,1,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,1,3,1,3,3,2,1,1,2,2,3,4,4,5,5,4,5,3,4,4,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,20,30,21,4,4,1,3,42,NA,4,2,2,NA,5,NA,275,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,1,0,0,0
138,1579331,2011-7-30 08:05,2011-7-30 08:15,595,5,1,1,1,1,3,1,1,NA,1,10,16,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,1,3,2,3,2,2,3,2,1,1,1,3,5,5,5,5,3,4,3,3,4,4,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,7,20,10,2,5,1,2,41,NA,4,2,2,NA,5,NA,796,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; SV1; 360SE),MSIE 8.0,Windows XP,127.0.0.1,1,1,0,0,0
139,505206,2012-7-27 04:57,2012-7-27 05:07,594,3,1,1,1,1,2,1,16,菱悦,2,3,6,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,3,2,1,3,3,2,1,1,1,3,3,1,3,4,5,5,4,4,4,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,14,2,15,2,6,1,4,44,NA,2,1,2,NA,5,NA,656,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
140,533898,2012-7-27 06:54,2012-7-27 07:05,615,3,1,1,1,1,2,1,NA,NA,1,10,16,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,3,3,1,2,1,3,3,1,2,3,2,3,4,5,5,5,4,4,4,4,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,2,10,19,2,7,1,3,41,NA,3,2,2,NA,5,NA,906,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
141,630443,2012-7-29 06:32,2012-7-29 06:43,672,3,1,1,1,1,2,1,NA,NA,1,10,16,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,2,3,3,2,3,3,3,2,3,3,3,3,3,4,5,3,4,3,4,3,3,1,0,0,4,0,1,2,0,0,0,0,0,0,0,5,3,2,5,7,3,19,1,8,42,NA,5,2,2,NA,5,NA,648,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
142,975561,2012-7-29 02:48,2012-7-29 02:57,540,3,1,1,1,3,2,1,27,FRV,2,4,10,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,3,2,2,3,2,3,3,3,1,2,2,2,3,5,5,5,5,5,3,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,20,19,7,1,7,1,3,46,101149,4,1,1,NA,5,NA,559,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
143,1000954,2012-7-29 07:22,2012-7-29 07:33,692,3,1,1,1,1,2,1,NA,NA,1,10,16,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,3,3,1,2,1,3,2,3,3,1,2,3,4,5,5,4,4,3,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,15,10,21,2,6,2,3,44,NA,5,2,2,无,5,NA,938,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
144,1012567,2012-7-30 02:24,2012-7-30 02:34,629,3,1,1,1,1,2,1,NA,NA,1,10,16,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,3,2,1,2,2,3,2,1,3,3,2,3,4,5,5,4,5,3,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,15,21,22,2,7,1,3,41,NA,4,2,2,NA,5,NA,997,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
145,1054398,2012-7-30 07:07,2012-7-30 07:21,807,3,1,1,1,3,2,1,2,Q7,3,8,14,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,1,1,3,2,2,2,3,1,1,3,2,1,4,4,5,5,4,4,4,4,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,NA,10,11,13,3,19,1,3,NA,NA,5,3,6,NA,5,NA,144,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
146,1061010,2012-7-30 05:28,2012-7-30 05:43,894,5,1,1,1,3,3,1,21,雅阁,2,2,4,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,2,3,2,1,2,3,2,1,2,1,1,1,3,4,5,5,4,5,3,4,3,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,20,22,15,2,7,1,4,49,NA,4,1,1,NA,5,NA,619,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
147,1396781,2012-7-27 04:10,2012-7-27 04:21,692,5,1,1,1,1,3,1,1,NA,1,10,16,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,3,3,3,1,3,1,3,3,2,1,3,2,5,2,4,5,2,5,5,3,3,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,3,2,1,5,1,19,1,5,49,NA,1,1,1,NA,5,NA,588,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
148,1397796,2012-7-30 04:07,2012-7-30 04:18,627,3,1,1,1,1,2,1,NA,NA,1,10,16,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,1,2,2,1,3,3,1,2,2,1,1,3,4,5,5,4,5,3,3,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,10,15,2,2,5,2,2,48,NA,4,1,2,NA,5,NA,64,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
149,1469433,2012-7-23 05:06,2012-7-23 05:16,613,3,1,1,1,3,2,1,17,公爵,4,5,12,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,1,2,3,1,2,3,3,3,2,2,3,5,4,5,5,3,4,4,4,4,3,1,0,0,0,0,0,0,3,0,0,1,2,0,0,0,1,14,21,66,3,17,2,3,41,NA,5,2,2,NA,5,NA,5,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
150,1628376,2012-7-27 05:38,2012-7-27 05:48,593,1,1,1,1,2,2,1,11,途胜,2,3,6,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,3,3,2,1,3,2,2,3,1,1,2,3,3,4,5,5,4,4,3,4,4,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,14,15,9,2,7,1,3,43,NA,2,2,2,NA,5,NA,600,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; 360SE),MSIE 7.0,Windows XP,127.0.0.1,1,1,0,0,0
151,480368,2012-7-27 02:12,2012-7-27 02:24,746,5,1,1,1,3,3,1,21,途锐,2,7,10,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,1,1,3,1,1,2,3,1,3,2,1,4,3,5,5,4,4,3,4,5,5,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,20,13,4,17,1,5,40,NA,5,2,2,NA,5,NA,645,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
152,531305,2012-7-30 06:12,2012-7-30 06:24,663,3,1,1,1,1,2,1,NA,NA,1,10,16,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,3,2,3,2,1,2,3,1,2,3,3,3,4,3,5,5,4,5,2,4,3,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,15,10,5,3,10,1,4,44,NA,5,1,2,NA,5,NA,552,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
153,640652,2012-7-29 02:46,2012-7-29 02:55,524,5,1,1,1,3,3,1,31,A3,2,2,8,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,3,2,2,3,2,2,2,3,2,1,3,3,2,4,5,4,4,3,3,4,4,1,0,0,0,0,0,0,3,0,0,0,2,3,0,0,3,1,2,20,5,11,1,4,46,101149,5,1,2,NA,5,NA,952,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
154,699780,2012-7-30 06:43,2012-7-30 06:55,683,3,1,1,1,3,2,1,22,S40,2,3,5,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,1,3,1,2,2,3,3,2,1,3,3,2,2,4,3,5,5,4,5,3,4,5,4,1,0,0,0,0,0,2,3,0,0,0,0,0,0,5,3,22,15,10,3,7,1,3,43,NA,4,2,2,NA,5,NA,215,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
155,714868,2012-7-29 04:01,2012-7-29 04:13,744,3,1,1,1,1,2,1,NA,NA,1,10,16,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,2,1,2,2,1,3,1,2,3,2,2,1,3,5,5,5,2,4,4,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,1,21,20,3,11,1,2,37,NA,5,1,1,NA,5,NA,234,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
156,787547,2012-7-29 03:48,2012-7-29 04:00,717,3,1,1,1,3,2,1,16,菱悦,2,3,6,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,1,3,2,1,2,3,2,2,2,3,1,3,3,4,5,5,4,5,3,4,3,4,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,15,10,20,2,5,1,4,40,NA,4,3,2,NA,5,NA,434,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
157,885723,2012-7-23 05:12,2012-7-23 05:25,772,3,1,1,1,1,2,1,NA,NA,1,10,16,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,1,2,1,3,1,2,2,1,3,1,2,5,1,5,5,4,4,4,4,4,4,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,1,3,42,3,5,1,3,41,100012,2,2,2,NA,5,NA,98,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
158,1006405,2012-7-27 02:33,2012-7-27 02:43,597,1,1,1,1,2,3,1,34,风行,2,1,11,1,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,1,3,2,1,3,1,1,3,2,1,2,1,4,4,3,3,4,4,3,4,4,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,3,2,1,14,2,19,1,5,40,100194,2,2,2,NA,5,NA,842,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
159,1046695,2012-7-29 03:10,2012-7-29 03:21,695,3,1,1,1,1,2,1,NA,NA,1,10,16,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,3,2,3,1,2,2,2,3,2,2,1,3,4,4,5,2,4,3,5,4,5,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,2,10,15,2,6,1,3,41,NA,4,2,2,NA,5,NA,137,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
160,1053573,2012-7-30 08:14,2012-7-30 08:26,689,3,1,1,1,3,2,1,16,菱悦,2,5,9,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,2,2,3,1,2,3,3,1,2,3,1,3,5,5,5,4,5,2,4,3,5,1,0,0,0,0,0,2,3,0,0,0,0,0,0,5,3,15,10,5,3,7,1,3,42,NA,4,7,2,NA,5,NA,808,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
161,1087759,2012-7-30 08:53,2012-7-30 09:06,773,3,1,1,1,1,2,1,NA,NA,1,10,16,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,3,1,2,3,1,2,3,3,2,1,3,5,5,5,4,5,3,5,5,4,1,0,0,0,0,0,2,3,0,0,0,0,0,0,5,3,20,15,13,3,7,2,3,18,100079,5,2,2,NA,5,NA,725,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
162,1109041,2012-7-30 07:57,2012-7-30 08:07,612,3,1,1,1,1,2,1,NA,NA,1,10,16,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,2,2,1,3,1,2,3,1,2,2,3,2,3,5,4,5,4,5,3,5,4,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,5,3,15,20,21,2,7,1,3,41,NA,4,2,2,NA,5,NA,948,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
163,1136354,2012-7-30 06:29,2012-7-30 06:39,601,3,1,1,1,1,2,1,2,Q7,1,10,16,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,3,1,1,2,1,2,2,3,1,1,2,2,3,4,5,5,2,5,3,4,5,4,1,0,0,0,0,0,2,3,0,0,0,0,0,0,5,3,1,15,30,3,7,1,3,42,NA,4,2,2,NA,5,NA,459,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
164,1232240,2012-7-30 03:52,2012-7-30 04:04,711,5,1,1,1,3,3,1,21,桑塔纳,4,6,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,1,2,2,2,3,1,2,1,2,1,3,NA,3,5,5,3,5,4,4,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,19,21,20,2,19,1,3,28,010000,2,2,2,NA,5,NA,991,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),MSIE 8.0,Windows NT 6.1,127.0.0.1,1,1,0,0,0
