RespNum,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,CBCFIX1,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,enthusiast,SUVbuyer,shanghai,shenzhen,chengdu,usa,mturk
339,2012-7-29 05:49,2012-7-29 05:56,391,1158575,102,2,2,1,1,21,NA,2,5,12,2,NA,7,NA,2,4,5,5,5,5,5,5,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,14,17,5,14,1,3,28,NA,4,2,2,0,0,1,0,0,0,0
340,2012-7-27 06:06,2012-7-27 06:17,626,1186878,73,1,2,3,4,1,NA,1,10,16,1,6,NA,NA,2,4,4,5,5,4,3,3,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,2,14,5,8,2,3,24,200333,1,2,2,0,0,1,0,0,0,0
341,2012-7-28 09:31,2012-7-28 09:40,520,1201193,555,1,3,1,5,1,NA,1,10,16,3,NA,NA,4,2,3,4,5,5,4,5,4,3,5,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,1,14,13,5,10,1,3,41,200333,5,2,2,0,0,1,0,0,0,0
342,2012-7-28 06:48,2012-7-28 06:57,540,1207041,486,1,2,3,4,1,NA,2,10,16,2,NA,8,NA,2,4,3,5,5,3,4,3,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,10,11,22,1,8,2,3,25,200063,4,2,2,0,0,1,0,0,0,0
343,2012-7-28 08:36,2012-7-28 08:43,474,1238374,119,1,2,1,3,1,NA,1,10,16,2,NA,4,NA,2,4,3,5,5,2,4,4,3,3,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,13,14,19,5,6,1,4,50,236233,5,1,1,0,0,1,0,0,0,0
344,2012-7-27 08:54,2012-7-27 09:08,814,1297676,255,1,2,1,3,1,NA,1,10,16,1,5,NA,NA,2,4,4,4,5,4,5,4,4,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,23,NA,5,7,2,3,19,200063,2,2,2,0,0,1,0,0,0,0
345,2012-7-29 07:48,2012-7-29 08:03,872,1297790,339,1,3,3,6,1,NA,1,10,16,2,NA,3,NA,2,4,3,5,5,4,4,4,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,2,20,1,12,2,3,27,200060,4,2,2,0,0,1,0,0,0,0
346,2012-7-29 03:21,2012-7-29 03:32,688,1300383,693,1,2,1,3,1,NA,2,10,16,3,NA,NA,6,2,4,3,5,5,4,5,4,3,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,14,5,5,9,1,3,16,NA,4,2,2,0,0,1,0,0,0,0
347,2012-7-30 02:38,2012-7-30 02:47,542,1324927,723,2,2,1,1,14,3,2,5,11,2,NA,2,NA,2,3,4,5,5,4,5,4,4,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,14,1,13,1,15,1,3,22,NA,2,2,2,0,0,1,0,0,0,0
348,2012-7-29 06:56,2012-7-29 07:05,496,1333995,456,1,2,1,3,1,NA,2,10,16,2,NA,4,NA,2,4,3,4,5,3,5,4,4,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,7,13,11,4,10,2,2,42,NA,6,1,2,0,0,1,0,0,0,0
349,2012-7-29 08:32,2012-7-29 08:45,734,1369427,280,1,3,1,5,1,NA,2,10,16,1,5,NA,NA,2,4,3,4,5,4,4,4,3,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,20,13,4,12,2,3,28,200333,2,2,2,0,0,1,0,0,0,0
350,2012-7-28 02:42,2012-7-28 02:56,823,1371830,494,1,2,1,3,1,NA,1,10,16,1,5,NA,NA,2,4,4,5,5,3,4,4,3,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,9,17,16,5,12,2,3,41,NA,5,2,2,0,0,1,0,0,0,0
351,2012-7-30 08:33,2012-7-30 08:43,576,1376091,797,1,3,3,6,1,NA,1,10,16,1,5,NA,NA,2,4,3,4,5,3,3,4,3,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,9,12,1,14,1,3,33,NA,5,2,2,0,0,1,0,0,0,0
352,2012-7-30 09:14,2012-7-30 09:24,591,1417582,693,1,3,1,5,1,NA,1,10,16,2,NA,8,NA,2,4,4,5,5,4,4,3,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,8,4,3,5,10,1,3,44,NA,5,2,2,0,0,1,0,0,0,0
353,2012-7-27 08:44,2012-7-27 08:53,547,1474481,615,2,2,1,1,18,明睿,2,3,6,1,6,NA,NA,2,4,4,5,5,4,4,4,3,4,4,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,17,19,1,11,2,3,36,NA,5,2,2,0,0,1,0,0,0,0
354,2012-7-30 06:00,2012-7-30 06:12,692,1508344,559,1,2,1,3,4,凯越,2,5,10,3,NA,NA,7,2,4,3,5,5,3,4,3,4,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,20,12,1,14,1,3,40,NA,5,2,2,0,0,1,0,0,0,0
355,2012-7-29 02:56,2012-7-29 03:07,631,1528559,15,1,2,1,3,1,NA,1,10,16,2,NA,4,NA,2,4,3,4,5,4,5,4,3,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,13,19,5,7,1,2,21,200063,2,2,2,0,0,1,0,0,0,0
356,2012-7-27 08:07,2012-7-27 08:20,727,1575046,479,1,2,3,4,1,NA,1,10,16,1,6,NA,NA,2,4,2,5,5,5,4,3,4,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,20,1,7,3,9,2,4,41,200063,6,2,2,0,0,1,0,0,0,0
357,2012-7-27 02:17,2012-7-27 02:25,497,1577155,749,1,2,1,3,1,NA,1,10,16,2,NA,8,NA,2,4,4,5,5,5,5,4,5,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,7,20,16,5,13,1,3,34,200434,5,2,2,0,0,1,0,0,0,0
358,2012-7-28 05:00,2012-7-28 05:16,932,1659660,204,1,2,1,3,NA,NA,2,10,16,2,NA,8,NA,2,3,5,5,5,3,4,4,4,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,13,21,37,4,9,1,1,45,NA,6,1,1,0,0,1,0,0,0,0
359,2012-7-28 02:23,2012-7-28 02:40,1014,1660850,804,3,3,1,5,58,龙威350,2,7,10,3,NA,NA,4,2,4,3,5,5,3,5,4,3,4,4,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,10,33,3,16,1,3,30,200062,4,2,2,0,0,1,0,0,0,0
360,2012-7-29 07:14,2012-7-29 07:24,604,1675065,217,1,3,1,5,1,NA,2,10,16,2,NA,6,NA,2,4,4,5,5,3,3,3,4,4,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,14,2,5,11,2,3,27,200333,4,2,2,0,0,1,0,0,0,0
361,2012-7-30 07:18,2012-7-30 07:27,524,1678085,878,1,3,3,6,1,NA,1,10,16,2,NA,2,NA,2,4,3,5,5,4,4,4,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,13,7,5,1,13,2,2,44,NA,5,1,2,0,0,1,0,0,0,0
362,2012-7-27 05:21,2012-7-27 05:28,468,922369,536,1,2,3,4,1,NA,1,2,15,2,NA,4,NA,2,5,3,5,5,3,4,4,4,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,14,2,21,2,7,1,3,49,NA,4,1,1,0,1,1,0,0,0,0
363,2012-7-28 05:34,2012-7-28 05:43,496,486478,758,1,2,1,3,1,NA,1,10,16,2,NA,8,NA,2,3,3,5,5,3,5,4,3,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,3,14,2,12,1,2,43,NA,5,1,2,0,1,1,0,0,0,0
364,2012-7-28 05:46,2012-7-28 05:56,617,533357,515,3,3,1,5,20,锐志,2,7,10,1,5,NA,NA,2,2,4,5,5,2,4,3,4,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,14,8,4,1,15,1,5,24,NA,4,3,2,0,1,1,0,0,0,0
365,2012-7-29 06:14,2012-7-29 06:36,1302,480468,715,1,2,1,3,1,NA,1,10,16,2,NA,2,NA,2,4,4,5,5,4,4,4,4,5,5,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,NA,5,7,19,5,8,1,3,43,NA,5,1,1,0,1,1,0,0,0,0
366,2012-7-29 03:40,2012-7-29 03:50,604,636894,13,1,2,3,4,1,NA,1,10,16,1,7,NA,NA,2,3,3,5,5,4,4,4,4,5,5,0,0,3,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,7,9,3,4,2,3,16,NA,5,2,2,0,1,1,0,0,0,0
367,2012-7-27 06:01,2012-7-27 06:08,445,675781,553,1,2,1,3,1,NA,1,10,16,2,NA,4,NA,2,4,4,4,4,4,3,4,4,4,4,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,19,7,18,5,2,1,4,29,NA,4,3,2,0,1,1,0,0,0,0
368,2012-7-28 05:14,2012-7-28 05:22,485,762785,479,2,3,1,1,2,a4,2,6,15,1,2,NA,NA,2,4,4,5,5,NA,5,4,4,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,6,19,NA,10,2,3,26,NA,5,2,2,0,1,1,0,0,0,0
369,2012-7-30 05:46,2012-7-30 06:05,1132,817504,340,2,1,1,1,13,标致,2,5,10,1,7,NA,NA,2,3,4,4,5,4,4,3,4,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,15,4,15,1,3,22,NA,4,NA,NA,0,1,1,0,0,0,0
370,2012-7-28 08:10,2012-7-28 08:22,711,828852,204,1,3,1,5,1,NA,1,10,16,1,5,NA,NA,2,4,4,5,5,3,4,4,4,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,1,21,22,27,1,7,1,4,29,NA,4,2,2,0,1,1,0,0,0,0
371,2012-7-29 06:41,2012-7-29 06:55,841,903958,875,1,3,1,5,1,NA,1,10,16,1,1,NA,NA,2,4,4,5,5,4,4,4,4,5,5,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,5,21,5,9,1,3,33,NA,4,1,2,0,1,1,0,0,0,0
372,2012-7-30 10:26,2012-7-30 10:36,613,910433,254,2,1,3,2,22,v6,2,5,10,1,8,NA,NA,2,3,4,5,5,4,4,4,4,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,2,5,7,3,14,2,3,28,NA,4,2,2,0,1,1,0,0,0,0
373,2012-7-28 08:28,2012-7-28 08:39,674,971186,172,1,3,3,6,1,NA,1,10,16,2,NA,5,NA,2,3,2,3,4,1,4,4,4,5,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,8,5,5,8,2,3,44,NA,4,1,1,0,1,1,0,0,0,0
374,2012-7-30 09:07,2012-7-30 09:16,539,1042899,169,1,2,1,3,1,NA,1,10,16,1,5,NA,NA,2,3,4,5,5,4,3,3,4,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,6,23,5,15,1,3,25,NA,6,2,6,0,1,1,0,0,0,0
375,2012-7-27 06:55,2012-7-27 07:07,721,1184134,607,3,2,3,4,1,NA,1,10,16,1,2,NA,NA,2,2,2,5,5,4,5,5,4,4,3,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,9,14,5,13,2,3,22,NA,4,2,2,0,1,1,0,0,0,0
376,2012-7-29 07:46,2012-7-29 08:06,1199,1274882,459,2,2,1,1,23,f3,2,4,5,1,7,NA,NA,2,4,4,5,5,4,4,4,4,5,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,22,21,5,12,2,3,17,NA,4,2,2,0,1,1,0,0,0,0
377,2012-7-30 08:43,2012-7-30 08:54,629,1291993,449,1,3,3,6,1,NA,1,10,16,1,6,NA,NA,2,3,4,5,5,4,4,4,4,5,5,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,6,9,4,15,1,3,40,NA,5,2,2,0,1,1,0,0,0,0
378,2012-7-28 05:36,2012-7-28 05:45,504,1583630,128,3,3,1,5,24,现代,2,9,15,1,2,NA,NA,2,5,4,NA,5,4,4,4,4,4,4,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,5,9,19,1,3,2,4,16,NA,2,2,2,0,1,1,0,0,0,0
379,2012-7-29 02:43,2012-7-29 02:53,594,1612630,336,3,3,1,5,23,f0,2,5,10,1,2,NA,NA,2,3,4,5,5,4,3,3,4,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,2,6,3,NA,2,3,41,NA,5,1,2,0,1,1,0,0,0,0
380,2012-7-29 03:12,2012-7-29 03:25,769,530940,287,1,2,1,3,1,NA,2,10,16,2,NA,1,NA,2,4,3,5,5,3,5,4,3,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,20,14,13,5,13,2,3,24,NA,2,2,2,0,1,1,0,0,0,0
381,2012-7-28 07:15,2012-7-28 07:33,1084,576340,234,2,2,1,1,57,350,2,5,12,2,NA,8,NA,2,4,5,4,5,5,4,3,3,4,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,14,21,4,12,1,3,19,NA,4,2,2,0,1,1,0,0,0,0
382,2012-7-29 06:08,2012-7-29 06:18,585,673753,604,1,2,1,3,1,NA,1,10,16,2,NA,4,NA,2,3,4,5,5,4,4,4,3,5,4,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,8,16,13,5,7,1,2,44,200063,4,1,2,0,1,1,0,0,0,0
383,2012-7-30 10:25,2012-7-30 10:41,976,743350,101,1,3,3,6,1,NA,1,10,16,3,NA,NA,6,2,4,3,4,5,3,4,4,3,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,6,12,4,1,11,2,3,39,NA,4,2,2,0,1,1,0,0,0,0
384,2012-7-26 06:45,2012-7-26 06:53,455,873276,704,2,2,1,1,3,NA,2,7,13,3,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0
385,2012-7-29 03:39,2012-7-29 03:56,1024,926089,448,1,2,1,3,1,NA,1,10,16,2,NA,7,NA,2,4,4,5,5,5,4,4,3,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,5,22,13,5,10,1,3,27,NA,5,2,2,0,1,1,0,0,0,0
386,2012-7-30 03:34,2012-7-30 03:48,855,948406,390,1,3,3,6,1,NA,1,10,16,2,NA,7,NA,2,4,3,4,5,3,3,4,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,9,19,8,1,14,2,2,49,NA,4,1,1,0,1,1,0,0,0,0
387,2012-7-28 08:03,2012-7-28 08:11,469,1096229,290,1,3,3,6,1,NA,2,10,16,1,7,NA,NA,2,4,3,3,5,4,5,4,4,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,4,19,5,10,1,4,45,325000,5,1,1,0,1,1,0,0,0,0
388,2012-7-29 08:24,2012-7-29 08:32,492,1156418,803,1,2,3,4,1,NA,1,10,16,2,NA,6,NA,2,4,3,5,5,4,4,NA,3,4,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,13,9,3,1,13,1,3,42,NA,4,2,2,0,1,1,0,0,0,0
389,2012-7-28 06:05,2012-7-28 06:25,1225,1163395,544,1,2,1,3,1,NA,1,10,16,2,NA,6,NA,2,4,4,5,5,3,3,3,2,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,35,9,24,5,4,1,4,44,NA,2,1,1,0,1,1,0,0,0,0
390,2012-7-30 03:20,2012-7-30 03:31,622,1212327,265,2,2,1,1,4,GLK8,2,5,12,2,NA,3,NA,2,4,3,4,4,3,3,4,3,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,7,20,21,5,16,1,1,47,200061,6,1,1,0,1,1,0,0,0,0
391,2012-7-27 08:27,2012-7-27 08:39,676,1298293,702,2,2,1,1,2,A4,3,6,11,2,NA,5,NA,2,3,4,5,5,4,4,4,3,4,3,1,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,20,2,5,16,1,3,40,NA,6,2,2,0,1,1,0,0,0,0
392,2012-7-27 06:19,2012-7-27 06:29,612,1369403,266,1,2,1,3,1,NA,1,10,16,2,NA,5,NA,2,3,4,5,5,4,5,3,4,5,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,9,2,5,13,2,5,48,200063,2,1,1,0,1,1,0,0,0,0
393,2012-7-28 05:53,2012-7-28 06:03,560,1423743,847,2,2,1,1,4,凯越,3,4,13,1,6,NA,NA,2,4,3,5,5,2,4,3,5,5,5,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,1,2,1,14,1,4,43,200333,5,3,2,0,1,1,0,0,0,0
394,2012-7-29 07:24,2012-7-29 07:45,1250,1534134,3,1,2,1,3,1,NA,1,10,16,3,NA,NA,6,2,3,4,4,5,4,4,4,3,5,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,20,14,1,12,2,2,40,NA,5,1,1,0,1,1,0,0,0,0
395,2012-7-27 02:45,2012-7-27 03:00,849,1536826,426,3,2,3,4,34,风行,2,10,16,3,NA,NA,7,2,3,3,4,5,4,4,2,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,13,20,8,5,6,2,2,42,NA,5,1,2,0,1,1,0,0,0,0
396,2012-7-27 04:01,2012-7-27 04:11,598,1539533,864,1,2,1,3,1,NA,1,10,16,3,NA,NA,1,2,3,3,4,4,5,3,3,4,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,NA,5,2,1,2,17,200333,1,2,2,0,1,1,0,0,0,0
397,2011-8-3 08:26,2011-8-3 08:44,1080,534660,199,1,3,1,5,1,NA,1,10,16,2,NA,6,NA,2,4,4,5,4,5,4,3,4,4,4,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,7,15,5,2,1,5,27,NA,2,3,2,0,0,0,1,0,0,0
398,2011-8-3 04:13,2011-8-3 04:26,739,548852,598,2,3,1,1,11,伊兰特,2,2,9,2,NA,4,NA,2,5,1,4,5,2,4,3,3,5,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,10,2,4,3,15,2,3,41,NA,4,2,2,0,0,0,1,0,0,0
399,2011-8-3 09:13,2011-8-3 09:24,622,596068,592,2,3,1,1,8,福克斯,2,2,4,2,NA,1,NA,2,4,4,5,5,4,5,3,3,3,3,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,1,7,1,9,2,2,44,NA,4,2,2,0,0,0,1,0,0,0
400,2011-8-2 04:01,2011-8-2 04:12,643,628556,810,1,3,1,5,1,NA,1,10,16,1,4,NA,NA,2,4,3,5,5,5,4,4,4,4,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,22,3,3,3,1,4,47,518000,5,1,1,0,0,0,1,0,0,0
401,2011-8-3 08:04,2011-8-3 08:20,977,679715,619,2,3,3,2,21,POLO,2,3,2,1,2,NA,NA,2,4,2,3,5,5,3,3,4,5,5,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,20,19,22,2,5,1,3,48,052560,5,1,1,0,0,0,1,0,0,0
402,2011-8-4 03:55,2011-8-4 04:06,651,713389,424,1,2,1,3,1,NA,2,10,1,1,4,NA,NA,2,4,2,5,5,4,5,3,3,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,20,21,8,2,19,1,4,49,NA,4,1,1,0,0,0,1,0,0,0
403,2011-8-2 03:05,2011-8-2 03:17,748,731965,210,1,3,1,5,1,NA,1,10,16,1,5,NA,NA,2,5,3,4,4,4,4,4,3,5,5,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,9,20,10,2,10,1,4,33,518023,3,2,2,0,0,0,1,0,0,0
404,2011-8-2 02:43,2011-8-2 02:56,774,774697,747,1,3,1,5,1,NA,1,10,16,2,NA,7,NA,2,2,3,4,4,3,3,3,3,2,4,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,5,13,2,6,1,1,45,518102,5,1,1,0,0,0,1,0,0,0
405,2011-8-4 04:07,2011-8-4 04:17,607,781262,196,1,3,1,5,1,NA,1,10,16,1,3,NA,NA,2,4,4,5,5,4,3,3,4,4,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,1,1,2,16,3,5,1,3,46,NA,4,2,2,0,0,0,1,0,0,0
406,2011-8-2 02:31,2011-8-2 02:42,634,818594,870,3,3,1,5,10,思域,3,4,15,3,NA,NA,4,2,3,3,3,5,4,5,4,4,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,2,19,1,10,2,3,43,518000,2,2,2,0,0,0,1,0,0,0
407,2011-8-4 07:15,2011-8-4 07:25,589,826448,988,1,3,1,5,10,雅阁,2,3,5,2,NA,6,NA,2,4,4,5,5,4,5,4,5,4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,16,20,19,1,9,1,2,44,NA,4,1,1,0,0,0,1,0,0,0
408,2011-8-2 07:11,2011-8-2 07:24,742,869242,568,3,2,1,3,14,6,4,6,10,2,NA,6,NA,2,4,4,5,5,4,5,3,4,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,21,13,14,1,18,1,7,43,NA,2,1,1,0,0,0,1,0,0,0
409,2011-8-4 05:24,2011-8-4 05:39,878,911860,22,1,3,1,5,1,NA,3,10,16,1,6,NA,NA,2,2,5,5,5,4,1,3,5,2,2,0,0,0,0,5,0,2,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,2,3,2,17,1,1,47,NA,3,1,1,0,0,0,1,0,0,0
410,2011-8-2 06:47,2011-8-2 06:57,569,955630,48,2,4,1,1,20,凯美瑞,2,10,16,2,NA,1,NA,2,4,4,5,5,3,3,4,4,5,5,0,0,0,0,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,6,1,4,3,11,2,3,35,NA,2,2,2,0,0,0,1,0,0,0
411,2011-8-3 03:22,2011-8-3 03:33,636,961104,964,1,3,1,5,1,NA,1,10,16,2,NA,7,NA,2,4,3,4,5,4,4,4,4,5,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,2,1,19,2,3,1,4,46,NA,5,1,1,0,0,0,1,0,0,0
412,2011-8-4 07:05,2011-8-4 07:14,516,974220,847,1,3,1,5,1,NA,1,10,16,1,4,NA,NA,2,5,3,4,5,4,4,2,4,4,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,66,2,1,18,2,2,51,518033,4,1,1,0,0,0,1,0,0,0
413,2011-8-2 08:40,2011-8-2 08:50,599,997337,110,1,2,1,3,1,NA,1,10,16,2,NA,7,NA,2,4,4,4,5,2,3,3,2,3,4,0,0,0,0,5,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,9,19,1,6,1,4,41,NA,2,3,2,0,0,0,1,0,0,0
414,2011-8-3 02:54,2011-8-3 03:04,561,1042700,30,3,3,1,5,11,索纳塔,2,5,1,2,NA,8,NA,2,4,3,5,5,4,5,4,4,4,4,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,66,67,NA,4,19,1,3,46,NA,4,1,1,0,0,0,1,0,0,0
415,2011-8-2 05:34,2011-8-2 05:45,644,1089754,911,1,3,1,5,1,NA,2,10,16,1,4,NA,NA,2,3,3,5,5,3,3,4,4,3,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,9,1,13,1,6,1,4,35,51800,5,3,2,0,0,0,1,0,0,0
