"sys_SequentialRespondentNumber","compcode","workerid","sys_StartTime","sys_EndTime","sys_ElapsedTime","sys_InternalRespNum","sys_CBCVersion_CBC","user","mtwid","consent1_1","consent2_1","consent3_1","pastbuyer","futurebuyer","primarybuyer","quota","CarMake","CarModel","VehicleOwnership","dailyvmt","annualvmt","carsizeselect","carimagesmall","carimagemid","carimagelarge","Topcarsmall_1","Topcarsmall_2","Topcarsmall_3","Topcarsmall_4","Topcarsmall_5","Topcarsmall_6","Topcarsmall_7","Topcarsmall_8","Topcarmid_1","Topcarmid_2","Topcarmid_3","Topcarmid_4","Topcarmid_5","Topcarmid_6","Topcarmid_7","Topcarmid_8","Topcarlarge_1","Topcarlarge_2","Topcarlarge_3","Topcarlarge_4","Topcarlarge_5","Topcarlarge_6","Topcarlarge_7","Topcarlarge_8","CBCFIX1","CBCRAN1","CBCRAN2","CBCRAN3","CBCRAN4","CBCRAN5","CBCRAN6","CBCRAN7","CBCRAN8","CBCRAN9","CBCRAN10","CBCRAN11","CBCRAN12","CBCRAN13","CBCRAN14","CBCRAN15","productuseratings_r1","productuseratings_r2","productuseratings_r3","productuseratings_r4","productuseratings_r5","productuseratings_r6","EnvLifeRatings_r1","EnvLifeRatings_r2","EnvLifeRatings_r3","EnvLifeRatings_r4","DrivingTypeExper_1","DrivingTypeExper_2","DrivingTypeExper_3","DrivingTypeExper_4","DrivingTypeExper_5","consideration_1","consideration_2","consideration_3","consideration_4","consideration_5","parkingHomeGarage","parkingHomeStructure","parkingHomeDriveway","parkingHomeStreet","parkingHomeOther","slowchargingaccess_1","slowchargingaccess_2","slowchargingaccess_3","slowchargingaccess_4","slowchargingaccess_5","slowchargingaccess_6","slowchargingaccess_7","slowchargingaccess_8","slowchargingaccess_9","fastchargingaccess","brandrank1","brankrank2","brandrank3","maintenance","income","sex","householdsize","YOB","zipcode","education","children","marriage","sys_RespStatus","sys_DispositionCode","sys_UserAgent","sys_Browser","sys_OperatingSystem","sys_IPAddress","sys_UserJavaScript","comments"
35,"635103894","ATQKTFZ7ETZ1C",2012-9-23 12:20,2012-9-23 12:31,687,383,40,"3f2jk9","",1,1,1,2,3,3,2,6,"Equinox",3,4,4,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,1,1,2,2,3,2,3,1,2,3,3,1,4,3,5,4,4,4,2,2,4,4,1,2,0,0,0,1,2,3,0,0,1,1,3,3,4,0,0,3,0,0,0,0,0,0,2,3,6,24,4,9,2,2,40,"04062",4,1,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","72.224.95.9",1,"I enjoyed the comparison task for the cars."
36,"687072863","APSE9VF9UEPXL",2012-9-24 12:26,2012-9-24 12:44,1063,386,43,"3f2jk9","",1,1,1,2,3,1,1,17,"Altima",2,3,4,3,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,3,2,2,2,3,2,2,1,2,2,2,2,3,2,5,4,5,4,1,5,4,1,4,4,1,0,0,0,0,0,0,0,4,0,3,1,2,3,1,1,0,0,0,0,0,0,0,0,3,10,17,11,5,4,2,4,43,"23805",3,4,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","173.133.103.54",1,""
37,"317552287","A2VRQML8Q3XYP4",2012-9-23 23:53,2012-9-24 00:08,913,384,41,"3f2jk9","",1,1,1,3,3,1,5,10,"CRV",3,6,3,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,2,1,2,1,2,1,3,1,2,2,2,2,1,1,3,1,5,4,5,5,1,3,3,3,4,4,1,2,0,0,0,1,2,3,0,0,3,1,3,4,1,0,0,0,0,0,0,0,0,9,3,15,2,10,4,9,2,4,31,"92807",5,3,2,5,,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3","Safari 7534.48.3","","75.19.165.235",1,"Nope...."
38,"495364652","A2ZNE3MKA8LELO",2012-9-24 00:20,2012-9-24 00:33,824,385,42,"3f2jk9","",1,1,1,3,3,1,5,8,"Windstar",2,2,2,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,2,1,3,1,1,3,1,1,2,1,3,2,2,2,3,5,4,5,4,2,4,2,3,3,3,1,0,0,0,0,1,2,0,0,0,1,1,1,1,6,0,0,0,0,0,0,0,0,0,3,6,14,16,5,2,2,3,27,"08070",2,4,4,5,,"Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows XP","69.141.21.6",1,""
39,"573628987","A1H2D6HAOGIQCD",2012-9-25 01:31,2012-9-25 01:38,395,387,44,"3f2jk9","",1,1,1,3,2,1,3,2,"A4",4,9,9,1,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,3,2,2,2,1,2,1,3,1,1,2,2,1,5,5,5,5,5,5,4,3,4,4,1,0,0,0,0,1,0,0,0,0,4,1,6,1,5,1,0,3,0,5,0,0,0,0,2,15,2,3,1,12,2,4,48,"40033",5,1,1,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Mac OS X 10.7","69.23.57.241",1,"interesting"
40,"822733721","A12D0U73YPLFP5",2012-9-25 20:55,2012-9-25 21:03,454,389,46,"3f2jk9","",1,1,1,2,2,1,1,10,"Accord",2,1,2,1,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,3,2,2,2,2,2,1,2,5,2,5,4,4,3,3,4,5,3,0,0,0,0,5,1,2,0,0,0,2,2,2,2,2,1,2,0,0,0,0,0,0,0,2,3,19,8,5,1,1,1,47,"65233",3,1,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","64.72.36.113",1,""
41,"175250064","A3QAHOIFQKYIDH",2012-9-25 14:07,2012-9-25 14:17,628,388,45,"3f2jk9","",1,1,1,2,3,3,2,10,"Odyssey",3,4,3,3,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,2,3,1,3,3,3,1,3,2,1,1,2,3,3,3,2,4,5,5,4,1,4,4,3,3,2,1,2,0,0,0,1,2,0,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,2,10,21,19,1,4,2,5,46,"40205",5,4,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Mac OS X 10.7","74.138.22.89",1,""
42,"343233422","ASPL0SF3VVEZH",2012-9-26 03:10,2012-9-26 03:25,883,391,48,"3f2jk9","",1,1,1,3,3,1,5,8,"Ranger",2,2,1,3,,,5,,,,,,,,,,,,,,,,,5,,,,,,,,2,1,1,1,3,1,3,2,2,2,2,1,1,3,1,1,5,5,4,4,1,1,1,4,4,3,1,0,0,4,0,0,0,0,4,0,1,1,6,6,1,0,0,3,4,0,0,7,0,0,1,8,4,15,2,5,1,8,19,"72015",5,1,4,5,,"Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows XP","64.136.26.154",1,"Thank you for this HIT."
43,"615396236","A1845VY68OGOOM",2012-9-27 18:08,2012-9-27 18:17,542,393,50,"3f2jk9","",1,1,1,3,3,1,5,8,"Escape",2,6,4,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,2,3,2,1,3,3,3,3,1,1,5,4,5,4,3,4,4,3,3,4,1,2,0,0,0,1,2,3,4,0,3,7,1,6,3,0,0,0,4,0,0,7,0,9,1,8,24,3,3,5,1,,40,"97035",4,1,,5,,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4","Chrome 22.0.1229.79","Windows XP) AppleWebKit/537.4 (KHTML, like Gecko","66.87.64.202",1,""
44,"848342364","A2SQU0H0EO6QNO",2012-9-29 20:35,2012-9-29 20:44,525,395,52,"3f2jk9","",1,1,1,3,3,1,5,24,"Jeep Grand Cherokee",2,9,9,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,2,3,3,2,2,2,2,2,2,1,2,1,2,3,1,4,4,5,5,4,4,2,3,4,3,1,2,0,0,0,1,2,3,4,0,1,1,2,1,1,0,0,3,0,0,0,0,0,0,3,3,21,19,2,6,1,1,33,"28715",6,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.79 Safari/537.4","Chrome 22.0.1229.79","Windows NT 6.1","24.181.210.28",1,"Enjoyed this."
45,"718522578","A150A89KKQSJY8",2012-9-28 02:46,2012-9-28 03:05,1136,394,51,"3f2jk9","",1,1,1,3,2,1,3,8,"Windstar",3,9,7,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,1,1,3,3,1,2,3,1,3,2,1,2,2,2,5,4,5,5,4,4,3,3,3,3,1,0,0,0,0,1,2,3,4,0,2,1,3,7,1,1,0,3,4,0,0,0,0,0,2,6,7,8,2,5,1,4,33,"68355",2,3,2,5,,"Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20100101 Firefox/15.0.1","Firefox 15.0.1","Windows NT 6.1","76.84.210.23",1,""
46,"300131313","AG36Z6EQKON45",2012-10-2 20:38,2012-10-2 20:48,607,407,54,"3f2jk9","",1,1,1,3,3,3,6,24,"Saab 9-5",2,5,6,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,1,2,1,2,2,1,3,1,1,2,3,1,5,4,5,5,1,4,4,4,,5,1,0,0,0,0,1,2,0,4,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,23,2,19,3,2,2,3,33,"12866",3,2,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3","Safari 533.22.3","Macintosh","74.76.218.85",1,""
47,"530433899","A235SJH76CB03Y",2012-10-2 10:24,2012-10-2 10:33,519,406,53,"3f2jk9","",1,1,1,3,3,1,5,8,"Explorer",3,9,7,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,3,1,1,3,1,2,3,1,2,3,1,1,1,3,2,5,4,2,1,1,2,2,1,1,1,1,2,0,0,0,1,2,3,4,0,1,1,1,3,1,0,0,0,4,0,0,0,0,0,2,6,8,21,4,7,1,1,43,"36867",4,1,1,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; InfoPath.2; MS-RTC LM 8; .NET4.0C; SLCC1)","MSIE 8.0","Windows NT 6.1","150.226.95.18",1,""
48,"819162889","A32SAWTHW1T9DA",2012-10-28 20:50,2012-10-28 20:59,524,449,86,"3f2jk9","",1,1,1,3,2,3,4,21,"4runner",3,3,3,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,3,2,1,2,2,1,3,3,3,3,1,1,1,3,2,3,5,4,5,5,2,4,3,4,5,5,1,2,0,0,0,1,2,0,0,0,3,1,3,1,1,1,0,0,0,0,0,0,0,0,2,21,10,8,4,9,2,2,44,"76504",5,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows NT 6.1","24.242.42.44",1,""
49,"737485855","AMYO0DCMLRI58",2012-10-31 18:18,2012-10-31 18:25,403,457,94,"3f2jk9","",1,1,1,2,3,3,2,6,"Malibu",3,4,8,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,2,1,2,3,1,3,3,3,1,3,2,3,5,4,4,4,4,4,2,2,2,2,1,0,0,0,0,1,2,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0,3,6,12,10,5,7,2,3,43,"68104",5,2,2,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET CLR 1.1.4322; .NET4.0E)","MSIE 8.0","Windows NT 6.1","66.37.229.149",1,""
50,"205557421","polarbear",2012-10-26 17:35,2012-10-26 17:39,216,422,69,"3f2jk9","",1,1,1,2,4,1,1,8,"F-150",4,3,5,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,3,1,2,2,3,2,1,1,3,1,1,1,1,2,1,5,4,4,5,5,4,5,4,5,1,0,0,0,0,1,0,0,0,0,4,1,3,3,5,0,0,0,0,0,6,7,8,0,2,8,6,15,1,11,1,3,50,"79410",3,3,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Macintosh","129.118.213.31",1,""
51,"854593566","AGF24W1KJDS1E",2012-10-28 14:33,2012-10-28 14:49,966,446,83,"3f2jk9","",1,1,1,2,3,1,1,12,"Sorento",3,3,3,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,2,3,3,3,2,2,2,1,3,2,1,2,2,3,2,5,4,5,4,3,4,4,3,4,5,0,0,0,0,5,1,2,3,0,0,1,1,6,1,1,0,0,3,0,0,0,0,0,0,3,17,12,19,4,6,2,2,43,"26505",4,1,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows NT 6.1","71.61.144.73",1,""
52,"917222307","A3FO0AK3PG8ZDK",2012-10-27 13:20,2012-10-27 13:32,740,429,76,"3f2jk9","",1,1,1,2,2,3,2,14,"626",3,8,9,2,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,2,2,1,3,2,2,3,2,1,2,2,1,1,3,1,1,4,5,4,5,1,3,2,3,5,4,1,0,0,0,0,1,2,0,0,0,3,1,5,6,1,1,0,3,0,0,0,0,0,0,3,6,8,7,4,10,2,5,42,"28540",3,4,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows NT 6.1","184.3.142.177",1,""
53,"938313078","AR95C0P53AFWJ",2012-10-27 07:06,2012-10-27 07:16,602,428,75,"3f2jk9","",1,1,1,3,2,1,3,12,"Optima",2,2,2,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,3,2,2,2,3,1,1,2,3,2,2,1,2,1,1,5,,5,5,1,5,3,2,2,3,1,0,0,0,0,1,2,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,3,8,6,9,4,2,2,1,26,"18104",2,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows NT 6.1","24.229.152.87",1,""
54,"237243349","A11FHFONMVCL8X",2012-10-25 23:04,2012-10-25 23:14,628,413,60,"3f2jk9","",1,1,1,2,4,3,2,19,"Forester",3,3,4,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,2,1,1,2,3,1,1,1,2,2,2,1,5,4,5,5,4,4,3,3,3,2,1,2,0,0,0,1,2,3,0,0,3,1,3,6,1,1,0,3,0,0,0,7,0,0,3,19,15,22,5,11,1,4,32,"57103",6,3,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Macintosh","24.230.50.239",1,""
55,"516252016","A24O6UEHBOEYLE",2012-10-26 06:18,2012-10-26 06:34,959,419,66,"3f2jk9","",1,1,1,1,3,1,5,1,"",1,11,11,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,2,2,1,2,3,1,1,3,1,1,2,4,4,4,4,3,4,4,5,5,5,1,2,0,0,0,0,2,3,4,0,7,7,7,7,7,1,0,0,0,0,0,0,0,0,2,19,20,21,1,1,1,1,47,"78006",5,1,1,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Macintosh","78.111.176.131",1,""
56,"560160190","AKH9IJY7FNYBK",2012-10-28 17:50,2012-10-28 18:03,812,448,85,"3f2jk9","",1,1,1,3,2,1,3,6,"Grand caravan",3,4,5,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,3,1,3,2,3,3,3,2,1,2,3,3,2,1,3,4,3,4,4,2,3,2,4,4,4,1,2,0,0,0,1,2,3,4,0,3,1,5,5,6,1,0,3,0,0,0,0,0,0,2,8,6,21,2,7,2,4,39,"37803",4,3,2,5,,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3","Safari 7534.48.3","","24.158.206.47",1,""
57,"613382476","A3JI91CQIA5FWO",2012-10-26 03:17,2012-10-26 03:33,976,417,64,"3f2jk9","",1,1,1,2,3,1,1,6,"Impala",2,2,3,3,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,2,2,2,2,3,3,3,3,2,2,3,1,3,3,1,3,5,2,4,4,1,5,4,3,4,4,1,0,0,0,0,1,2,3,4,0,1,1,3,1,1,0,0,0,0,0,0,7,0,0,2,6,9,24,5,6,2,3,47,"28562",3,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; rv:16.0) Gecko/20100101 Firefox/16.0","Firefox 16.0","Windows NT 6.1","75.110.158.219",1,""
58,"714951745","A3RQBG3LOJQ4SD",2012-10-29 16:30,2012-10-29 16:36,331,454,91,"3f2jk9","",1,1,1,3,3,3,6,6,"Cavalier",3,2,2,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,3,3,2,1,3,3,2,2,2,3,1,2,3,3,4,5,2,3,3,3,4,4,1,2,0,4,0,0,2,3,4,0,3,7,3,3,1,1,0,0,0,5,6,7,8,9,1,17,21,6,5,7,2,2,46,"98682",5,1,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows NT 6.1","98.246.92.43",1,"We own an electric car! (Nissan Leaf) and LOVE IT."
59,"498166906","ABEPAJGVKEZCU",2012-10-26 19:51,2012-10-26 19:59,478,423,70,"3f2jk9","",1,1,1,2,2,3,2,8,"Thunderbird",2,3,2,1,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,3,3,2,3,1,2,3,3,2,1,3,3,2,5,3,4,4,2,3,2,3,3,1,0,0,0,0,5,0,0,3,0,0,7,7,3,6,7,1,0,3,0,0,0,0,0,0,3,8,6,12,5,3,2,2,52,"68510",2,1,3,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows NT 6.1","108.167.21.10",1,""
60,"687589173"," AY1SQ61A19NNT",2012-10-26 23:33,2012-10-26 23:43,588,425,72,"3f2jk9","",1,1,1,3,3,1,5,9,"Sierra 1500",2,6,6,3,,,4,,,,,,,,,,,,,,,,,4,,,,,,,,1,1,3,1,1,2,3,3,1,1,1,1,3,2,3,1,4,4,4,3,4,5,4,3,2,4,1,0,0,0,0,1,0,0,0,0,3,7,5,4,4,1,0,3,0,0,0,0,0,0,2,9,3,6,4,3,1,1,49,"72701",3,1,1,5,,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3","Safari 7534.48.3","iPhone","67.66.232.222",1,"Some of the questions was confusing at times."
61,"136353172","AVJT5WQM1DQL3",2012-10-26 14:46,2012-10-26 14:51,306,421,68,"3f2jk9","",1,1,1,3,2,1,3,24,"Jeep Grand Cherokee",2,8,8,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,1,3,1,2,2,1,1,3,2,1,2,3,3,2,3,3,5,4,4,3,2,4,4,3,3,4,1,2,0,0,0,1,2,3,4,0,2,2,2,7,7,1,0,0,0,0,0,0,0,0,3,3,2,15,1,9,1,2,41,"10004",5,1,1,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:10.0.2) Gecko/20100101 Firefox/10.0.2","Firefox 10.0.2","Windows NT 6.1","97.65.76.189",1,"none"
62,"493544595","A1ZDPQYCRNAT2J",2012-10-28 11:04,2012-10-28 11:13,552,445,82,"3f2jk9","",1,1,1,3,2,1,3,24,"Infiniti",2,3,7,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,2,2,3,1,3,1,3,3,3,1,3,2,2,3,2,1,5,4,5,4,1,3,1,1,5,5,1,2,0,0,0,1,2,3,4,0,3,1,3,6,1,1,0,0,0,0,0,0,0,0,1,17,15,3,5,10,1,2,27,"37128",5,1,3,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)","MSIE 9.0","Windows Vista","182.18.208.5",1,""
63,"120014019","A2TMSM19YCEXLE",2012-10-27 19:01,2012-10-27 19:11,621,443,80,"3f2jk9","",1,1,1,3,2,3,4,10,"Acura",2,5,3,2,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,1,1,3,2,1,1,3,2,3,2,1,1,3,3,3,3,5,5,5,,3,4,4,2,4,4,1,0,0,0,0,0,0,0,0,5,2,2,1,1,2,0,0,0,0,0,6,0,0,0,3,10,8,3,3,6,2,3,28,"80012",6,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows NT 6.1","67.161.199.235",1,""
64,"926633639","A3B9XDWVYAEDXF",2012-10-27 02:26,2012-10-27 02:49,1384,427,74,"3f2jk9","",1,1,1,3,3,1,5,24,"torrent",4,4,9,2,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,2,1,1,1,3,3,1,1,3,3,1,1,2,1,3,3,4,4,5,5,3,3,2,2,2,3,1,2,0,0,0,1,2,3,4,0,3,1,3,3,1,1,0,3,4,0,0,0,0,0,2,6,8,12,4,7,1,3,19,"56721",5,2,2,5,,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; XBLWP7; ZuneWP7)","MSIE 9.0","Windows NT 6.1","166.196.40.217",1,""
65,"424234692","A3HCSD1O2I7IS",2012-10-28 15:54,2012-10-28 16:08,791,447,84,"3f2jk9","",1,1,1,3,3,1,5,21,"4-Runner 4WD",3,2,2,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,2,3,1,3,3,2,1,1,2,1,2,1,1,1,1,3,4,4,5,5,4,5,4,2,4,4,1,0,0,0,0,0,0,0,0,0,3,1,3,3,3,0,0,0,0,0,0,0,0,0,2,21,10,15,2,11,2,3,39,"97026",6,2,2,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; GTB7.4; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; BRI/1; BRI/2)","MSIE 8.0","Windows NT 6.1","204.195.20.48",1,""
66,"380937576","A3TS7FYF27E59U",2012-10-29 13:46,2012-10-29 14:00,839,453,90,"3f2jk9","",1,1,1,2,3,3,2,8,"mercury mariner",3,5,4,2,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,2,2,3,3,3,1,1,3,1,1,1,1,3,1,3,3,4,3,5,4,3,3,2,4,4,,1,2,0,0,0,1,2,3,0,0,2,1,2,1,1,1,0,3,0,0,0,0,0,0,3,10,8,21,4,7,1,3,33,"15236",5,2,2,5,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4","Chrome 22.0.1229.94","Windows NT 6.1","184.81.242.146",1,"none."
67,"161473815","A1MCSC1TDZ2UFU",2012-10-25 23:42,2012-10-25 23:57,865,416,63,"3f2jk9","",1,1,1,3,2,1,3,6,"suburban",2,9,2,3,,,7,,,,,,,,,,,,,,,,,7,,,,,,,,2,3,3,1,2,3,3,1,2,1,3,1,2,3,3,2,5,4,5,5,5,3,2,3,3,3,1,2,0,0,0,1,2,3,0,0,4,1,2,2,2,1,0,0,0,0,0,0,0,0,3,6,8,7,3,7,1,1,27,"64505",5,1,1,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; GTB7.4; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; HPDTDF)","MSIE 8.0","Windows NT 6.1","66.87.24.74",1,"interesting survey, thank you"
68,"123921190","A28SYUJ857UH5I",2012-10-27 13:30,2012-10-27 13:38,468,430,77,"3f2jk9","",1,1,1,3,3,1,5,10,"Accord",2,2,3,1,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,1,3,3,3,1,2,3,1,1,3,2,3,5,3,5,4,1,4,4,3,3,4,1,2,0,0,0,1,2,3,4,0,3,1,2,1,1,1,0,0,0,0,0,0,0,0,3,24,1,1,5,9,1,3,33,"80206",5,3,4,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14","Safari 536.26.14","Macintosh","174.16.181.94",1,""
69,"313981454","A157IGPU1ECZ5Q",2012-10-27 21:43,2012-10-27 21:52,504,444,81,"3f2jk9","",1,1,1,2,2,3,2,24,"G37",3,5,9,2,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,2,3,1,3,1,2,2,1,1,1,1,1,1,3,1,3,4,2,4,5,1,4,4,1,5,5,1,2,0,0,0,1,2,3,4,0,1,1,3,2,1,0,0,3,0,0,0,0,0,0,3,23,2,3,1,11,1,2,42,"10312",5,1,2,5,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_8) AppleWebKit/534.50.2 (KHTML, like Gecko) Version/5.0.6 Safari/533.22.3","Safari 533.22.3","Macintosh","173.56.48.218",1,""
70,"317965768","AZZCVWF0H0O5Q",2012-10-25 21:38,2012-10-25 21:47,546,410,57,"3f2jk9","",1,1,1,2,2,3,2,6,"suburban",3,2,4,3,,,3,,,,,,,,,,,,,,,,,3,,,,,,,,2,3,3,2,3,1,1,2,3,2,2,2,2,2,1,1,4,4,4,4,2,2,2,2,5,5,1,2,0,0,0,1,2,3,4,0,4,7,3,3,7,1,0,0,0,0,0,0,0,0,3,21,6,7,5,10,2,7,34,"93306",4,5,2,5,,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.4; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; BOIE8;ENUS)","MSIE 8.0","Windows XP","99.113.10.86",1,""
