X.sys_SequentialRespondentNumber,compcode,workerid,sys_StartTime,sys_EndTime,sys_ElapsedTime,sys_InternalRespNum,sys_CBCVersion_CBC,user,mtwid,consent1_1,consent2_1,consent3_1,pastbuyer,futurebuyer,primarybuyer,quota,CarMake,CarModel,VehicleOwnership,dailyvmt,annualvmt,carsizeselect,carimagesmall,carimagemid,carimagelarge,Topcarsmall_1,Topcarsmall_2,Topcarsmall_3,Topcarsmall_4,Topcarsmall_5,Topcarsmall_6,Topcarsmall_7,Topcarsmall_8,Topcarmid_1,Topcarmid_2,Topcarmid_3,Topcarmid_4,Topcarmid_5,Topcarmid_6,Topcarmid_7,Topcarmid_8,Topcarlarge_1,Topcarlarge_2,Topcarlarge_3,Topcarlarge_4,Topcarlarge_5,Topcarlarge_6,Topcarlarge_7,Topcarlarge_8,CBCFIX1,CBCRAN1,CBCRAN2,CBCRAN3,CBCRAN4,CBCRAN5,CBCRAN6,CBCRAN7,CBCRAN8,CBCRAN9,CBCRAN10,CBCRAN11,CBCRAN12,CBCRAN13,CBCRAN14,CBCRAN15,productuseratings_r1,productuseratings_r2,productuseratings_r3,productuseratings_r4,productuseratings_r5,productuseratings_r6,EnvLifeRatings_r1,EnvLifeRatings_r2,EnvLifeRatings_r3,EnvLifeRatings_r4,DrivingTypeExper_1,DrivingTypeExper_2,DrivingTypeExper_3,DrivingTypeExper_4,DrivingTypeExper_5,consideration_1,consideration_2,consideration_3,consideration_4,consideration_5,parkingHomeGarage,parkingHomeStructure,parkingHomeDriveway,parkingHomeStreet,parkingHomeOther,slowchargingaccess_1,slowchargingaccess_2,slowchargingaccess_3,slowchargingaccess_4,slowchargingaccess_5,slowchargingaccess_6,slowchargingaccess_7,slowchargingaccess_8,slowchargingaccess_9,fastchargingaccess,brandrank1,brankrank2,brandrank3,maintenance,income,sex,householdsize,YOB,zipcode,education,children,marriage,sys_RespStatus,sys_DispositionCode,sys_UserAgent,sys_Browser,sys_OperatingSystem,sys_IPAddress,sys_UserJavaScript,comments
30,737485855,A29NZXDJEQKKYO,9/17/12 3:52,9/17/12 4:07,847,457,94,3f2jk9,NA,NA,1,1,3,3,1,5,8,Mustang,3,8,7,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,3,3,3,1,1,2,3,3,2,3,2,1,5,2,5,4,1,4,4,4,4,4,1,2,0,0,0,1,2,0,0,0,3,1,3,1,1,1,0,3,0,0,0,0,0,0,3,8,17,7,4,7,2,3,34,32570,5,2,3,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,173.19.14.243,1,
31,115281725,A2MLD905JD17VF,9/17/12 2:32,9/17/12 2:46,831,409,56,3f2jk9,NA,NA,1,1,3,3,1,5,6,S10,2,3,1,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,3,1,2,1,1,1,3,1,2,3,2,5,4,4,5,4,4,3,1,1,1,1,0,0,0,0,1,0,3,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,2,24,21,6,2,6,1,2,16,75801,2,1,1,5,NA,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:13.0) Gecko/20100101 Firefox/13.0,Firefox 13.0,Linux i686,24.50.22.220,1,SUV survey not available.
32,237243349,AU7JA5IM33ISF,9/17/12 2:37,9/17/12 2:53,978,413,60,3f2jk9,NA,NA,1,1,2,4,1,1,24,Dakota,3,4,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,3,2,3,1,2,3,1,3,2,2,3,2,5,4,5,5,4,4,3,3,4,3,1,2,0,0,0,1,2,3,0,0,1,1,3,1,3,0,0,3,0,0,0,0,0,0,3,6,9,3,5,9,1,3,50,25413,3,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,24.131.121.49,1,The most economical choice (which is the most important to me) was often quite clear. The only times where there wasn't a clear 'best choice' occurred when a very economical car had a very low maximum mileage. I hope that helps.
33,414621765,A2LV5432PV1S39,9/17/12 11:14,9/17/12 11:21,397,499,126,3f2jk9,NA,NA,1,1,3,3,1,5,8,Focus,2,5,4,1,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,3,1,2,3,1,3,2,3,1,2,3,1,5,4,5,5,3,NA,4,5,4,5,1,2,0,0,0,1,2,0,4,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,8,17,10,5,5,NA,1,45,22209,5,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,69.143.161.240,1,
34,156032946,A284WZI40E8FD6,9/15/12 22:12,9/15/12 22:20,498,376,33,3f2jk9,NA,NA,1,1,3,3,1,5,21,Yaris,2,5,9,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,2,2,2,1,1,3,2,1,2,1,3,3,2,2,4,5,1,5,4,2,4,4,1,0,0,0,0,1,2,3,4,0,1,1,6,2,1,0,0,0,0,0,0,0,0,0,2,21,14,22,1,7,2,1,43,62966,4,1,4,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:14.0) Gecko/20100101 Firefox/14.0.1,Firefox 14.0.1,Windows NT 6.1,173.28.174.239,1,
35,117862617,AT1CNDXT4RAVI,9/17/12 5:54,9/17/12 6:13,1168,484,111,3f2jk9,NA,NA,1,1,2,3,1,1,12,sportage,3,9,8,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,1,2,3,1,1,1,2,2,3,2,2,1,5,5,5,5,3,4,3,3,4,5,1,0,0,0,0,1,0,0,0,0,3,5,3,6,6,1,0,0,0,0,0,0,0,0,3,10,21,19,4,8,1,4,23,44067,5,2,2,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,75.187.200.219,1,for me price and reliability of a car are the most important things.
36,692513732,A1FQ93EUWKRMOW,9/17/12 3:13,9/17/12 3:26,777,426,73,3f2jk9,NA,NA,1,1,2,4,3,2,6,Suburban 1500,3,3,3,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,2,2,3,1,3,3,3,2,2,2,1,2,2,2,3,2,4,4,4,5,2,4,4,3,4,4,1,2,0,0,0,0,2,3,4,0,3,3,3,3,1,1,0,3,0,0,0,0,0,0,3,15,3,5,4,3,1,3,8,97701,2,1,2,5,NA,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:10.0.2) Gecko/20100101 Firefox/10.0.2,Firefox 10.0.2,Linux x86_64,208.100.184.28,1,Thank you for the interesting survey.
37,343233422,A10QMGBHH3XEPS,9/16/12 23:12,9/16/12 23:23,626,391,48,3f2jk9,NA,NA,1,1,2,2,3,2,21,Camry,4,7,9,1,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,1,1,1,1,3,2,3,3,1,1,3,2,5,4,4,3,3,5,4,3,3,5,1,2,0,0,0,1,2,0,4,0,5,7,6,6,7,1,0,0,0,0,0,0,0,0,3,10,3,21,1,6,2,4,49,90031,3,1,1,5,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Macintosh,66.214.170.224,1,
38,938313078,A2GXHECU31O81V,9/17/12 3:15,9/17/12 3:23,436,428,75,3f2jk9,NA,NA,1,1,2,4,1,1,5,CTS,2,9,5,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,1,1,2,3,2,3,2,3,3,2,2,3,4,4,4,5,4,4,4,4,5,4,0,2,0,0,0,0,2,0,0,0,6,4,5,4,5,1,0,0,0,0,6,0,0,0,2,5,3,2,4,11,1,3,51,47631,3,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,184.21.5.115,1,Great survey!
39,733795847,A1ILV394W9AJVY,9/15/12 0:51,9/15/12 1:04,776,19,10,3f2jk9,NA,NA,1,1,2,2,1,1,11,Azera,3,3,1,3,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,2,2,1,3,1,3,1,1,1,1,1,1,5,3,5,5,1,5,1,4,5,5,1,0,0,0,0,1,2,3,4,0,2,1,2,2,1,1,0,0,0,0,0,0,0,0,3,11,6,9,1,7,1,3,37,29401,5,2,2,5,NA,Mozilla/5.0 (Windows NT 5.1; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows XP,98.25.48.81,1,
40,926633639,ABC2VKCFVUPOI,9/17/12 3:14,9/17/12 3:21,422,427,74,3f2jk9,NA,NA,1,1,2,4,1,1,21,Camry,4,9,4,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,2,2,1,1,2,1,3,3,2,1,3,2,4,3,5,4,1,4,4,3,5,4,1,0,0,0,0,1,2,0,0,0,2,2,3,3,3,1,0,0,0,0,0,0,0,0,2,21,3,2,4,10,1,4,52,94015,3,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,76.102.91.208,1,
41,334611462,APUGGCCT3HL74,9/17/12 2:42,9/17/12 2:49,413,415,62,3f2jk9,NA,NA,1,1,3,3,1,5,4,Lesabre,2,4,10,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,2,2,1,2,1,3,3,1,1,3,3,5,4,5,5,2,3,3,1,3,1,1,0,0,0,0,1,2,0,0,0,1,1,1,1,6,0,0,0,0,0,0,0,0,0,3,15,3,23,1,4,1,3,47,38103,6,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,"Windows Vista) AppleWebKit/537.1 (KHTML, like Gecko",75.64.210.204,1,
42,309314744,A1FA4FW3XS05DI,9/17/12 13:00,9/17/12 13:14,807,521,138,3f2jk9,NA,NA,1,1,1,2,3,4,NA,,2,11,11,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,2,1,3,2,3,2,3,2,3,3,2,3,5,3,4,4,3,3,3,3,4,4,1,0,0,0,0,1,2,0,0,0,1,1,4,3,1,0,0,0,0,0,0,0,0,0,2,21,10,14,3,7,1,3,52,6770,3,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,99.58.202.43,1,"Very good survey, especially since I'll be buying a car soon, so this helped me see what I think is important when looking for a car."
43,181153589,A2NDGTBR25ADTU,9/15/12 18:29,9/15/12 18:44,865,371,28,3f2jk9,NA,NA,1,1,3,2,1,3,21,Camry,3,6,6,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,2,1,3,1,1,2,2,1,1,1,1,5,1,5,5,1,2,1,1,3,4,1,0,0,0,0,1,2,0,0,0,1,1,3,2,1,0,0,3,0,0,0,0,0,0,2,21,10,9,3,6,2,4,36,17340,6,3,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:14.0) Gecko/20100101 Firefox/14.0.1,Firefox 14.0.1,Windows NT 6.1,67.234.19.130,1,No comments.
44,190490506,A1OZPLHNIU1519,9/17/12 10:52,9/17/12 11:07,852,497,124,3f2jk9,NA,NA,1,1,3,3,1,5,1,,1,11,1,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,1,2,3,1,3,3,1,1,3,1,5,4,5,3,1,4,2,1,3,3,1,2,0,4,0,1,2,0,0,0,1,1,2,7,7,0,0,3,0,0,0,0,0,0,2,3,15,7,4,2,1,1,22,99201,3,1,1,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,147.222.249.100,1,"For me price would be most important I suppose.  I am interested in hybrids, but I think electric cars need to increase their range in order to be seriously considered as a primary vehicle."
45,504924145,AXULICPPNP2KC,9/17/12 11:34,9/17/12 11:49,918,503,130,3f2jk9,NA,NA,1,1,3,3,1,5,8,Ranger,2,2,2,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,2,1,3,2,3,2,2,1,2,1,2,2,5,5,5,4,NA,3,2,3,4,3,1,0,0,0,0,0,2,3,4,0,1,1,1,1,2,0,0,0,0,0,0,7,0,0,3,8,17,19,1,3,1,1,39,99336,4,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows Vista,96.41.204.144,1,
46,819390411,A22SZHZTF72TRM,9/15/12 14:58,9/15/12 15:09,616,31,22,3f2jk9,NA,NA,1,1,2,2,3,2,21,Camry,3,6,9,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,2,1,1,3,3,3,3,1,4,2,3,4,3,3,4,3,5,5,1,2,0,0,0,1,2,3,4,0,2,1,3,3,1,1,0,0,0,0,0,0,0,0,3,24,21,6,4,8,2,2,41,19703,5,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,"Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko",69.136.211.237,1,"Very interesting! I tried the SUV survey link but it didn't work (I'm looking to buy another Jeep). Since I just bought a car a few months ago, I figured it was okay to do the car survey instead. I hope this is okay."
47,161473815,A16RH08H5476RW,9/17/12 2:53,9/17/12 2:59,353,416,63,3f2jk9,NA,NA,1,1,3,3,1,5,12,Sportage,3,9,9,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,3,3,1,3,3,3,2,2,2,1,3,2,5,4,4,4,3,3,3,3,4,4,1,2,0,0,0,1,2,3,0,0,3,1,5,1,1,1,0,3,0,0,0,0,0,0,2,12,21,8,1,11,1,4,29,8804,5,3,2,5,NA,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,"Windows XP) AppleWebKit/537.1 (KHTML, like Gecko",76.1.226.214,1,
48,142386941,A2XMT272E96Z4M,9/15/12 21:35,9/15/12 21:46,680,375,32,3f2jk9,NA,NA,1,1,2,4,3,2,10,Accord,4,2,4,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,2,2,1,2,2,3,1,3,3,1,1,5,2,5,4,2,3,2,3,4,5,1,2,0,0,0,1,2,3,4,0,1,1,5,2,1,1,0,3,0,0,0,0,0,0,2,10,21,17,4,7,2,2,45,82070,5,1,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:9.0.1) Gecko/20100101 Firefox/9.0.1,Firefox 9.0.1,Windows NT 6.1,69.146.100.183,1,
49,819162889,A3IXM3AMBNWQO5,9/17/12 3:27,9/17/12 3:34,465,449,86,3f2jk9,NA,NA,1,1,2,4,3,2,12,Rondo,2,4,3,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,3,2,3,2,1,1,2,2,1,1,1,3,5,4,4,3,2,3,4,4,5,5,0,0,0,0,0,1,2,3,4,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,3,22,12,21,1,1,2,2,45,97202,5,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,24.22.26.123,1,
50,816581996,A3VS73NCMIPDLI,9/15/12 20:57,9/15/12 21:13,972,374,31,3f2jk9,NA,NA,1,1,3,2,1,3,10,Civic,3,6,5,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,3,3,3,2,3,3,3,2,2,3,1,5,5,5,5,3,4,3,1,2,2,1,2,3,0,0,1,0,0,0,0,3,1,3,1,1,1,0,0,0,0,0,0,0,0,3,19,3,10,5,11,1,4,32,77401,7,3,2,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,99.230.88.88,1,Electric cars are myth guys. Maybe good for NYC. But here in Texas the battery drains in 1 hour with the AC turned on. I would never buy a car without a gasoline/diesel engine. Good luck with your research.
51,205557421,A1E00OG9JJ8Q6E,9/17/12 3:08,9/17/12 3:16,466,422,69,3f2jk9,NA,NA,1,1,3,3,3,6,10,INTEGRA,4,7,8,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,3,1,2,3,3,1,3,2,3,3,2,3,5,2,4,5,1,5,5,3,3,5,1,0,0,0,0,0,0,3,0,0,3,6,3,6,7,1,0,0,0,0,0,7,0,0,3,15,2,3,3,12,1,4,53,94566,2,1,1,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,107.193.13.90,1,
52,162169704,A1VSU8AMV3QFI1,9/15/12 15:18,9/15/12 15:28,619,32,23,3f2jk9,NA,NA,1,1,3,3,1,5,21,Tacoma,2,3,5,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,2,3,1,3,1,1,1,3,3,2,4,3,4,4,3,4,4,4,4,4,1,0,0,0,0,1,2,0,0,0,1,1,1,1,6,0,0,0,0,0,0,0,0,0,2,21,8,22,5,5,2,2,20,41017,3,3,4,5,NA,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0),MSIE 7.0,Windows NT 6.1,74.140.89.38,1,no comments
53,848342364,AY8LNPQH4S1VY,9/17/12 2:24,9/17/12 2:31,424,395,52,3f2jk9,NA,NA,1,1,3,3,3,6,12,Soul,2,1,3,1,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,3,3,1,2,3,1,2,2,3,2,2,2,5,4,4,4,1,4,2,3,5,5,1,2,0,0,0,1,2,3,4,0,1,1,3,1,2,0,0,3,0,0,0,0,0,0,2,12,8,17,3,8,1,2,52,72701,3,1,2,5,NA,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),MSIE 9.0,Windows NT 6.1,72.204.48.20,1,
54,883077032,AX0MKVRQQW83A,9/17/12 5:50,9/17/12 6:02,734,483,110,3f2jk9,NA,NA,1,1,1,3,1,5,NA,,2,11,11,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,3,3,3,1,1,3,1,2,1,3,3,5,3,4,3,1,2,2,2,4,4,1,0,0,0,0,1,2,3,0,0,2,1,2,2,1,1,0,0,0,0,0,0,0,0,2,6,21,8,3,5,1,2,48,95660,3,1,1,5,NA,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Mac OS X 10.5,71.197.101.226,1,
55,320133179,AKF04DBSNC3UP,9/17/12 4:06,9/17/12 4:22,960,459,96,3f2jk9,NA,NA,1,1,3,3,3,6,21,venza,3,3,2,1,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,2,3,3,3,3,1,2,2,3,3,3,3,4,4,3,5,2,4,4,2,4,4,1,2,0,0,0,0,0,0,4,0,1,1,6,6,1,1,0,0,0,0,0,0,0,0,3,21,10,NA,2,7,2,4,35,2368,5,3,2,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,76.24.102.159,1,Survey questions were very clear.
56,924234541,A258V36I73RNFX,9/15/12 0:33,9/15/12 0:43,584,18,9,3f2jk9,NA,NA,1,1,3,3,3,6,6,trailblazer,3,3,4,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,3,2,2,1,1,2,3,1,1,2,3,3,4,4,4,5,2,4,4,3,3,3,1,0,0,0,0,0,0,3,0,0,3,7,4,3,7,1,0,0,0,0,0,0,0,0,3,4,9,6,5,6,2,4,36,85302,2,3,2,5,NA,Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1,Firefox 7.0.1,Windows XP,68.231.57.9,1,
57,844702249,A5K6ANYUTZF7B,9/17/12 12:20,9/17/12 12:29,577,515,132,3f2jk9,NA,NA,1,1,3,3,3,6,17,Sentra,3,3,4,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,1,1,3,1,3,3,3,1,3,3,1,1,5,3,4,5,1,2,2,2,3,1,1,0,0,0,0,1,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,3,8,10,17,3,1,1,2,45,32607,5,1,2,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,70.185.98.151,1,
58,917222307,A10DBWQ3JAUL4J,9/17/12 3:16,9/17/12 3:27,677,429,76,3f2jk9,NA,NA,1,1,3,2,1,3,6,Impala,3,7,7,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,3,1,1,1,3,3,2,3,3,1,2,3,3,2,5,5,1,4,4,2,2,3,1,0,0,0,0,1,2,0,0,0,3,7,6,6,7,1,0,0,0,0,0,0,0,0,3,6,5,21,3,6,1,4,39,53140,2,3,2,5,NA,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows NT 6.1,24.211.16.19,1,
59,421763430,A1M1A3MT1PAOZE,9/16/12 5:08,9/16/12 5:22,803,379,36,3f2jk9,NA,NA,1,1,3,3,3,6,7,Jeep Grand cherokee,3,6,6,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,1,3,2,1,1,3,1,3,2,1,5,3,5,5,2,4,3,1,5,3,1,0,0,0,0,1,2,0,0,0,3,6,5,1,6,1,0,3,0,0,0,0,0,0,2,10,23,7,4,6,1,4,44,68128,3,3,1,5,NA,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7",Safari 534.52.7,Macintosh,68.229.167.199,1,
60,125741247,AWLIWCVZ8KWHK,9/15/12 17:39,9/15/12 17:50,662,370,27,3f2jk9,NA,NA,1,1,2,2,1,1,17,altima,2,8,5,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,3,1,2,2,3,3,1,2,3,3,5,4,5,4,4,5,5,NA,3,4,1,0,0,0,0,1,0,0,0,0,2,2,2,6,7,1,0,0,0,0,0,7,0,0,3,11,3,15,2,7,2,2,45,60089,5,1,2,5,NA,Mozilla/5.0 (Windows NT 6.0; rv:15.0) Gecko/20100101 Firefox/15.0.1,Firefox 15.0.1,Windows Vista,68.58.71.0,1,
61,299500017,A2C9IMNZD8THIB,9/17/12 4:50,9/17/12 4:59,573,465,102,3f2jk9,NA,NA,1,1,3,2,1,3,NA,,1,11,11,1,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,3,1,1,1,1,3,1,3,1,1,2,2,5,3,5,5,1,2,2,3,5,5,1,0,0,0,0,1,2,3,4,0,1,1,1,4,6,0,0,0,0,0,0,0,0,0,1,5,6,7,2,1,1,1,41,NA,1,1,1,5,NA,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",Chrome 21.0.1180.89,Windows NT 6.1,99.118.161.6,1,
